"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0160","2019-07-16 00:00:00","196.000","107.000","0.900","26.800","0.860","989.900","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","25.300",""
"C0V500","2019-07-16 00:00:00","6.000","0.000","0.000","29.400","0.870","1005.600","-99.000","1.000","-99.000","-99.000","-99.000","32.500","","27.200",""
"C0SA30","2019-07-16 00:00:00","92.000","302.000","1.400","26.800","0.790","997.400","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","26.800",""
"C0U710","2019-07-16 00:00:00","1942.000","0.000","0.000","16.300","0.950","807.200","-99.000","7.000","-99.000","-99.000","-99.000","21.700","","14.500",""
"C0Z100","2019-07-16 00:00:00","36.000","0.000","0.000","25.300","0.960","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.300",""
"C0Z170","2019-07-16 00:00:00","199.000","273.000","0.300","26.600","0.830","986.600","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","25.100",""
"C0K430","2019-07-16 00:00:00","30.000","0.000","0.000","28.400","0.890","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","26.700",""
"C0T9M0","2019-07-16 00:00:00","92.000","330.000","2.300","27.100","0.860","997.900","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.400",""
"C0AI00","2019-07-16 00:00:00","188.000","226.000","1.200","26.900","0.810","985.800","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","26.000",""
"C0AC40","2019-07-16 00:00:00","1079.000","136.000","2.200","21.100","0.970","890.400","-99.000","0.000","-99.000","-99.000","-99.000","27.400","","19.900",""
"C0F9M0","2019-07-16 00:00:00","230.000","34.000","0.300","28.200","0.830","980.900","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","26.600",""
"C0A930","2019-07-16 00:00:00","216.000","323.000","0.800","23.500","1.000","981.200","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","23.500",""
"C0A640","2019-07-16 00:00:00","241.000","0.000","0.000","24.800","0.910","982.200","-99.000","0.500","-99.000","-99.000","-99.000","33.000","","23.000",""
"C0I420","2019-07-16 00:00:00","305.000","101.000","0.700","26.900","0.880","973.100","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","24.600",""
"C0R170","2019-07-16 00:00:00","26.000","63.000","0.300","27.800","1.000","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","26.100",""
"C0M530","2019-07-16 00:00:00","1385.000","117.000","0.300","19.400","0.990","865.800","-99.000","0.000","-99.000","-99.000","-99.000","24.300","","17.200",""
"C0H960","2019-07-16 00:00:00","120.000","228.000","0.800","29.200","0.870","991.700","-99.000","0.000","-99.000","-99.000","-99.000","35.800","","27.200",""
"C0V620","2019-07-16 00:00:00","18.000","275.000","0.500","29.700","0.830","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.800",""
"C0X280","2019-07-16 00:00:00","22.000","175.000","0.900","29.000","0.870","1004.300","-99.000","0.500","-99.000","-99.000","-99.000","31.100","","27.300",""
"C0AH40","2019-07-16 00:00:00","426.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0T9A0","2019-07-16 00:00:00","498.000","0.000","0.100","23.600","0.990","953.400","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","22.800",""
"C0K390","2019-07-16 00:00:00","31.000","0.000","0.000","28.900","1.000","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","27.000",""
"C0I540","2019-07-16 00:00:00","3344.000","92.000","3.800","10.500","0.680","684.400","-99.000","-99.000","-99.000","-99.000","-99.000","17.000","","9.400",""
"C0F0B0","2019-07-16 00:00:00","311.000","224.000","0.700","27.000","0.910","972.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.600",""
"C0R620","2019-07-16 00:00:00","34.000","13.000","1.900","28.200","0.890","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","27.600",""
"C0C630","2019-07-16 00:00:00","209.000","246.000","1.600","26.600","0.880","983.700","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.300",""
"C0C660","2019-07-16 00:00:00","176.000","210.000","1.000","27.200","0.850","987.600","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.700",""
"C0SA10","2019-07-16 00:00:00","411.000","357.000","0.300","24.900","0.890","961.500","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.600",""
"C0M740","2019-07-16 00:00:00","15.000","0.000","0.000","28.700","0.880","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.800",""
"C0K460","2019-07-16 00:00:00","60.000","0.000","0.000","29.300","0.820","999.000","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","27.100",""
"C0X100","2019-07-16 00:00:00","10.000","225.000","0.900","30.300","0.770","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","29.200",""
"C0K560","2019-07-16 00:00:00","117.000","0.000","0.200","28.000","0.870","994.200","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","25.300",""
"C0R150","2019-07-16 00:00:00","105.000","95.000","0.900","27.200","0.990","993.600","-99.000","6.500","-99.000","-99.000","-99.000","36.400","","25.600",""
"C0S690","2019-07-16 00:00:00","522.000","23.000","1.100","23.400","0.970","949.100","-99.000","0.000","-99.000","-99.000","-99.000","36.300","","23.200",""
"C0U870","2019-07-16 00:00:00","474.000","0.000","0.100","23.800","0.950","955.600","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","23.800",""
"C0A520","2019-07-16 00:00:00","48.000","269.000","0.300","27.300","0.900","1001.600","-99.000","10.000","-99.000","-99.000","-99.000","35.700","","27.000",""
"C0X130","2019-07-16 00:00:00","27.000","213.000","0.800","29.300","0.880","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","27.300",""
"C0V400","2019-07-16 00:00:00","56.000","79.000","1.100","28.600","0.880","999.300","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","26.600",""
"C0UA40","2019-07-16 00:00:00","1121.000","0.000","0.000","20.500","0.930","887.100","-99.000","0.000","-99.000","-99.000","-99.000","27.800","","19.600",""
"C0G720","2019-07-16 00:00:00","50.000","328.000","0.800","29.100","0.810","1000.700","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","26.400",""
"C0AC60","2019-07-16 00:00:00","55.000","210.000","1.700","27.200","0.920","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","35.900","","26.900",""
"C0UA70","2019-07-16 00:00:00","547.000","209.000","2.000","24.100","0.990","947.600","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","23.300",""
"C0G740","2019-07-16 00:00:00","24.000","0.000","0.000","28.800","0.870","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.900",""
"C0F9N0","2019-07-16 00:00:00","75.000","99.000","0.400","29.700","0.790","998.300","-99.000","0.000","-99.000","-99.000","-99.000","35.600","","27.800",""
"C0F9T0","2019-07-16 00:00:00","111.000","303.000","1.600","29.500","0.780","994.500","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","28.400",""
"C0S710","2019-07-16 00:00:00","382.000","31.000","2.000","25.000","0.880","965.600","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","23.700",""
"C0M680","2019-07-16 00:00:00","37.000","129.000","0.400","29.100","0.850","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.600",""
"C0X220","2019-07-16 00:00:00","26.000","218.000","1.000","28.500","0.850","1003.400","-99.000","0.500","-99.000","-99.000","-99.000","31.200","","27.000",""
"C0R560","2019-07-16 00:00:00","22.000","65.000","1.200","28.900","0.840","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","27.200",""
"C0F9P0","2019-07-16 00:00:00","26.000","345.000","0.300","29.000","0.920","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","28.100",""
"C0M760","2019-07-16 00:00:00","40.000","109.000","0.300","29.300","0.860","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","27.100",""
"C0X160","2019-07-16 00:00:00","26.000","128.000","0.300","29.000","0.870","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","27.100",""
"C0C490","2019-07-16 00:00:00","157.000","0.000","0.200","28.400","0.850","989.200","-99.000","2.500","-99.000","-99.000","-99.000","36.000","","27.900",""
"C0F970","2019-07-16 00:00:00","145.000","117.000","0.800","28.300","0.800","989.700","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","27.000",""
"C0M690","2019-07-16 00:00:00","33.000","105.000","1.200","28.200","0.870","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.200",""
"C0V690","2019-07-16 00:00:00","30.000","322.000","1.600","29.300","0.820","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","28.400",""
"C0Z210","2019-07-16 00:00:00","126.000","0.000","0.100","26.200","0.990","994.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","24.400",""
"C0U770","2019-07-16 00:00:00","5.000","343.000","3.100","26.100","0.840","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.200",""
"C0Z080","2019-07-16 00:00:00","298.000","0.000","0.000","24.900","0.930","974.800","-99.000","0.000","-99.000","-99.000","-99.000","35.900","","23.000",""
"C0G640","2019-07-16 00:00:00","17.000","285.000","0.300","29.200","0.850","1006.700","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.400",""
"C0X200","2019-07-16 00:00:00","61.000","287.000","0.300","27.700","0.970","999.600","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.200",""
"C0U900","2019-07-16 00:00:00","63.000","261.000","0.500","26.700","0.960","1001.400","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.300",""
"C0Z230","2019-07-16 00:00:00","31.000","287.000","2.300","28.000","0.730","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","26.900",""
"C0F9O0","2019-07-16 00:00:00","175.000","0.000","0.000","29.300","0.940","987.100","-99.000","0.000","-99.000","-99.000","-99.000","35.900","","27.700",""
"C0C540","2019-07-16 00:00:00","46.000","228.000","1.500","27.200","0.860","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","26.500",""
"C0G770","2019-07-16 00:00:00","15.000","0.000","0.100","29.800","0.880","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","28.000",""
"C0V670","2019-07-16 00:00:00","20.000","283.000","0.900","30.400","0.780","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","28.600",""
"C0A870","2019-07-16 00:00:00","685.000","191.000","3.100","23.300","0.920","930.500","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","22.500",""
"C0R220","2019-07-16 00:00:00","23.000","74.000","0.800","28.200","1.000","1003.700","-99.000","3.000","-99.000","-99.000","-99.000","35.200","","26.600",""
"C0Z220","2019-07-16 00:00:00","589.000","254.000","1.000","23.100","0.990","944.100","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","22.100",""
"C0D560","2019-07-16 00:00:00","147.000","186.000","1.100","27.700","0.870","991.600","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","26.400",""
"C0I380","2019-07-16 00:00:00","258.000","0.000","0.000","27.200","0.970","977.400","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","24.500",""
"C0Z020","2019-07-16 00:00:00","211.000","21.000","1.900","26.100","0.940","982.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","24.000",""
"C0Z190","2019-07-16 00:00:00","62.000","265.000","0.500","27.000","0.900","1000.400","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.600",""
"C0C710","2019-07-16 00:00:00","143.000","312.000","0.500","25.100","0.950","990.800","-99.000","0.500","-99.000","-99.000","-99.000","34.400","","25.100",""
"C0D360","2019-07-16 00:00:00","523.000","0.000","0.000","23.700","0.900","948.700","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","22.900",""
"C0C680","2019-07-16 00:00:00","228.000","280.000","0.300","27.000","0.810","979.700","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.100",""
"C0X140","2019-07-16 00:00:00","17.000","283.000","0.400","29.800","0.860","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","27.800",""
"C0V710","2019-07-16 00:00:00","34.000","312.000","1.700","30.300","0.820","1002.100","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","28.000",""
"C0G840","2019-07-16 00:00:00","32.000","0.000","0.000","28.700","0.900","1001.000","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","26.900",""
"C0S890","2019-07-16 00:00:00","238.000","29.000","0.400","26.800","0.870","983.100","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","25.500",""
